Frame ID,ArUCo ID,ArUCo 2D,ArUCo 3D (dist yaw pitch roll)
386,3,"[[551.0, 148.0], [578.0, 148.0], [577.0, 177.0], [551.0, 177.0]]","[1.7566276886911814, -0.7714521619095788, -3.333794723200287, -169.07467959284978]"
387,3,"[[552.0, 140.0], [580.0, 140.0], [580.0, 169.0], [553.0, 170.0]]","[1.625382204920447, -3.990570550096096, -12.427783648351348, -170.1644139920745]"
388,3,"[[562.0, 135.0], [591.0, 134.0], [592.0, 164.0], [563.0, 166.0]]","[1.577177006165957, -4.879203430260328, -7.856961052716551, -168.14927657040917]"
389,3,"[[573.0, 149.0], [603.0, 147.0], [605.0, 177.0], [575.0, 180.0]]","[1.565173506399111, -4.936832293044206, 0.13907146254571404, -170.89369221834397]"
390,3,"[[604.0, 117.0], [635.0, 117.0], [635.0, 149.0], [604.0, 150.0]]","[1.4993857558678358, -2.490436670878904, -5.56265332522032, -169.90530741054286]"
391,3,"[[628.0, 127.0], [661.0, 125.0], [664.0, 160.0], [630.0, 160.0]]","[1.3845031378060275, 4.838726178632099, 28.35831473927577, -151.11045059971937]"
392,3,"[[665.0, 144.0], [699.0, 142.0], [700.0, 178.0], [666.0, 179.0]]","[1.3704424884027422, 4.173911594300439, 31.665395511103412, -162.78894546980476]"
393,3,"[[675.0, 140.0], [711.0, 137.0], [712.0, 174.0], [676.0, 176.0]]","[1.341267227630907, 1.2893722968114667, 26.433912099122757, -167.9237700826762]"
394,3,"[[688.0, 105.0], [724.0, 104.0], [725.0, 143.0], [689.0, 145.0]]","[1.257364125474956, -4.95475023577829, -9.758087300848354, -171.54704312167308]"
395,3,"[[698.0, 104.0], [736.0, 101.0], [737.0, 141.0], [700.0, 143.0]]","[1.2614043242952293, 5.381198960025548, 35.332143784821795, -159.2313710251739]"
396,3,"[[708.0, 64.0], [748.0, 62.0], [750.0, 105.0], [709.0, 108.0]]","[1.1675727838427594, -5.231038849522196, -5.622868673365482, -171.49703182691786]"
397,3,"[[728.0, 74.0], [771.0, 71.0], [773.0, 117.0], [730.0, 120.0]]","[1.1034881837551174, -5.487315271184921, -5.111136786285925, -172.4132356260876]"
398,3,"[[792.0, 44.0], [840.0, 42.0], [839.0, 94.0], [792.0, 95.0]]","[1.0252364208298101, 15.482575677092075, 44.96025779959501, -147.80121969732514]"
399,3,"[[850.0, 44.0], [902.0, 43.0], [901.0, 98.0], [850.0, 99.0]]","[0.9721490754294052, -2.339940686880962, -4.701383666118287, -175.01748958264506]"
400,3,"[[888.0, 47.0], [942.0, 45.0], [942.0, 101.0], [888.0, 103.0]]","[0.9659004416860137, -2.4173433843605516, -2.361847068364288, -176.27233351504398]"
419,2,"[[273.0, 63.0], [305.0, 62.0], [304.0, 102.0], [274.0, 103.0]]","[1.517841690988646, -8.820714233303885, -29.09444846805298, -160.30713595635333]"
423,2,"[[604.0, 61.0], [634.0, 57.0], [630.0, 98.0], [600.0, 101.0]]","[1.2153680298006944, 12.337629382064215, 50.243039821989214, -170.6048409856517]"
424,2,"[[629.0, 64.0], [660.0, 61.0], [655.0, 102.0], [625.0, 104.0]]","[1.2235601522199984, 14.412334124092702, 50.26246226105078, -168.35877364419017]"
425,2,"[[680.0, 58.0], [711.0, 55.0], [706.0, 98.0], [675.0, 100.0]]","[1.1887593809176955, 18.353433515333567, 54.889709601453575, -163.7725023773159]"
427,2,"[[782.0, 64.0], [815.0, 59.0], [811.0, 104.0], [777.0, 108.0]]","[1.1692439523863827, 18.37728382166582, 61.25398288553679, -162.69251757881233]"
427,5,"[[276.0, 117.0], [293.0, 118.0], [293.0, 134.0], [276.0, 132.0]]","[3.1731535830924398, 1.1252614228425537, -12.69113043511148, -173.48905069602944]"
428,2,"[[789.0, 47.0], [822.0, 40.0], [818.0, 87.0], [785.0, 92.0]]","[1.1438441194481357, 19.883459492648964, 64.49143236396526, -160.47125744306672]"
429,2,"[[787.0, 28.0], [820.0, 21.0], [815.0, 71.0], [783.0, 75.0]]","[1.1010284410549964, 27.17949417908886, 66.11350365764642, -152.35961319415281]"
429,5,"[[305.0, 94.0], [322.0, 95.0], [321.0, 111.0], [305.0, 110.0]]","[2.963423320589627, 0.09497913586026563, -12.346805609060711, -147.95389991172084]"
430,2,"[[798.0, 33.0], [830.0, 26.0], [826.0, 76.0], [793.0, 81.0]]","[1.089964522793742, 27.34772963942692, 67.72111522571694, -152.50723479904278]"
430,5,"[[324.0, 96.0], [341.0, 97.0], [341.0, 113.0], [325.0, 113.0]]","[2.9330216320217852, 0.8849827799175746, -2.6939500287478126, -152.7644897001097]"
432,5,"[[379.0, 91.0], [395.0, 92.0], [395.0, 108.0], [379.0, 108.0]]","[2.9787000046725924, -1.7416489788613514, -12.398302456267654, -166.5752839646392]"
